archivo,linea,activo,existe
src/app/gatherings/page.tsx,36,/images/gathering-hero.png,True
src/app/gatherings/page.tsx,64,/images/gathering-online-cn0301.png,True
src/app/gatherings/page.tsx,75,/images/gathering-care-cn0302.png,True
src/app/gatherings/page.tsx,78,/images/gathering-care-cn0303.png,True
src/app/gatherings/page.tsx,90,/images/gathering-doughnut-1.png,True
src/app/gatherings/page.tsx,93,/images/gathering-doughnut-2.png,True
src/app/gatherings/page.tsx,96,/images/gathering-doughnut-3.png,True
src/app/gatherings/page.tsx,110,/images/newsletter-metacrisis.png,True
src/app/gatherings/page.tsx,133,/images/gathering-hero.png,True
src/app/gatherings/page.tsx,163,/images/gathering-online-cn0301.png,True
src/app/gatherings/page.tsx,175,/images/gathering-care-cn0302.png,True
src/app/gatherings/page.tsx,178,/images/gathering-care-cn0303.png,True
src/app/gatherings/page.tsx,192,/images/gathering-doughnut-1.png,True
src/app/gatherings/page.tsx,195,/images/gathering-doughnut-2.png,True
src/app/gatherings/page.tsx,198,/images/gathering-doughnut-3.png,True
src/app/gatherings/page.tsx,213,/images/newsletter-metacrisis.png,True
src/app/media-club/page.tsx,35,/images/rallitas-negro.png,True
src/app/media-club/page.tsx,62,/images/article-bdfm.png,True
src/app/media-club/page.tsx,98,/images/rallitas-negro.png,True
src/app/media-club/page.tsx,129,/images/article-bdfm.png,True
src/app/media-club/page.tsx,156,/images/newsletter-metacrisis.png,True
src/app/page.tsx,35,/images/nature-svg-white.svg,True
src/app/page.tsx,40,/images/yellow-curve.png,True
src/app/page.tsx,56,/images/hero-wordmark-together.svg,True
src/app/page.tsx,61,/images/cn-0104-2.png,True
src/app/page.tsx,74,/images/hero-photo-subtract.png,True
src/app/page.tsx,86,/images/cn-0104-2.png,True
src/app/page.tsx,97,/images/cn-0105-1.png,True
src/app/page.tsx,108,/images/cn-0106-1.png,True
src/app/page.tsx,123,/images/article-bdfm.png,True
src/app/page.tsx,147,/images/newsletter-metacrisis.png,True
src/app/page.tsx,169,/images/nature-svg-white.svg,True
src/app/page.tsx,172,/images/yellow-curve.png,True
src/app/page.tsx,188,/images/hero-wordmark-together.svg,True
src/app/page.tsx,190,/images/cn-0104-2.png,True
src/app/page.tsx,201,/images/hero-photo-subtract.png,True
src/app/page.tsx,215,/images/cn-0104-2.png,True
src/app/page.tsx,227,/images/cn-0105-1.png,True
src/app/page.tsx,239,/images/cn-0106-1.png,True
src/app/page.tsx,254,/images/article-bdfm.png,True
src/app/page.tsx,279,/images/newsletter-metacrisis.png,True
src/app/tools/page.tsx,34,/images/tools-hero.png,True
src/app/tools/page.tsx,62,/images/tools-nature-cn0202.png,True
src/app/tools/page.tsx,81,/images/tools-economy-cn0203.png,True
src/app/tools/page.tsx,100,/images/tools-tech-cn0204.png,True
src/app/tools/page.tsx,119,/images/tools-community-dithered.png,True
src/app/tools/page.tsx,132,/images/metalabel-image.png,True
src/app/tools/page.tsx,169,/images/tools-nature-cn0202.png,True
src/app/tools/page.tsx,188,/images/tools-economy-cn0203.png,True
src/app/tools/page.tsx,207,/images/tools-tech-cn0204.png,True
src/app/tools/page.tsx,226,/images/tools-community-dithered.png,True
src/app/tools/page.tsx,250,/images/metalabel-image.png,True
src/app/we-are/page.tsx,93,/images/cn-0104-2.png,True
src/app/we-are/page.tsx,120,/images/team-cesar.png,True
src/app/we-are/page.tsx,129,/images/team-blaga.png,True
src/app/we-are/page.tsx,138,/images/team-marcelo.png,True
src/app/we-are/page.tsx,170,/images/metacrisis-article-2.png,True
src/app/we-are/page.tsx,185,/images/figuras-azules.png,True
src/app/we-are/page.tsx,194,/images/cn-0105-1.png,True
src/app/we-are/page.tsx,203,/images/puntos-rosas.png,True
src/app/we-are/page.tsx,212,/images/cn-0106-1.png,True
src/app/we-are/page.tsx,234,/images/puntos-rosas.png,True
src/app/we-are/page.tsx,268,/images/team-cesar.png,True
src/app/we-are/page.tsx,275,/images/team-blaga.png,True
src/app/we-are/page.tsx,294,/images/team-marcelo.png,True
src/app/we-are/page.tsx,325,/images/metacrisis-article-2.png,True
src/app/we-are/page.tsx,342,/images/figuras-azules.png,True
src/app/we-are/page.tsx,357,/images/cn-0105-1.png,True
src/app/we-are/page.tsx,364,/images/puntos-rosas.png,True
src/app/we-are/page.tsx,379,/images/cn-0106-1.png,True
src/app/we-are/page.tsx,394,/images/newsletter-metacrisis.png,True
